Timestamp,Week,Region,FarmID,N,P,K,pH,Temperature,Humidity,Moisture,Rainfall,Sunlight,PreviousCrop,IrrigationType,Crop,Yield
2025-02-05 08:16:45.665761,0,West,FARM_1,137.48547502007017,45.33985439248811,46.09168594185118,6.9401749954795955,27.244064666745928,69.23055984633146,72.25800764650171,72.539837795809,6.068681963266864,Maize,Rainfed,Maize,6.405477622349253
2025-02-05 08:16:45.665761,0,West,FARM_119,199.65020835066866,45.88718876122572,50.11200942275262,7.0403696901076485,25.652374707729415,82.31286738213333,88.83359598217884,67.00165459623585,6.221728386709105,Boro_Rice,Rainfed,Boro_Rice,5.724588764628063
2025-02-05 08:16:45.665761,0,Central,FARM_120,158.64500038863795,48.31437842044337,49.24981367997074,6.317919711590485,26.329289531392853,89.26349490593222,68.89052137925938,77.02000162867947,7.540459780046531,Maize,Drip,Maize,6.729521332638998
2025-02-05 08:16:45.665761,0,Central,FARM_11,66.75710545634095,35.50500587388395,46.30579926835698,6.142640363410781,27.526569184961453,71.12679460847622,61.15028186272171,73.02683323277967,6.134758093695486,Pulses,Sprinkler,Pulses,2.290718402252165
2025-02-05 08:16:45.665761,0,Central,FARM_121,55.95262629576138,30.1170474685335,35.174873564692966,6.093358853571843,23.781480114690357,72.14295010779506,56.33561478069961,63.28521784874053,7.328040774065141,Pulses,Canal,Pulses,1.8832966456602318
2025-02-05 08:16:45.665761,0,South,FARM_122,150.88496675234384,46.93550372903748,50.85781982072717,7.176002282186798,26.621625854913177,84.12088276735938,73.04123130206227,92.08963871544331,5.70318652796449,Aman_Rice,Rainfed,Aman_Rice,4.893493096201041
2025-02-05 08:16:45.665761,0,Central,FARM_123,156.88500734222362,54.07938912072285,41.21478347062525,6.685333917459463,26.076484722844437,69.59343696825829,73.39262616192937,43.21321384934343,7.338593793331782,Maize,Sprinkler,Maize,5.323859697563658
2025-02-05 08:16:45.665761,0,East,FARM_124,81.89476710685223,38.0185948903224,35.23936011375187,7.709574750538932,29.246354612395795,61.928706239314764,51.87580924295752,38.62132594657756,9.959200941770018,Millets,Rainfed,Millets,2.217989354224223
2025-02-05 08:16:45.665761,0,East,FARM_125,136.72542973536684,48.03796970645746,36.18845877011992,7.238138935266551,19.39219358802715,59.493433995976126,57.408768416551794,31.910953664215707,8.788530049513573,Wheat,Drip,Wheat,3.6908142749519914
2025-02-05 08:16:45.665761,0,East,FARM_126,59.94846921834891,33.142310412146266,37.78397949143903,6.533264553093686,26.15343928952581,68.803755689681,52.632394048119664,52.89834090245312,6.244999419700118,Pulses,Canal,Pulses,1.7901829899513286
